country_region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Germany,2020-08-08,-23,-10,163,-10,-5,-1
Germany,2020-08-09,-9,28,127,-7,3,-2
Germany,2020-08-10,-1,0,137,-22,-34,5
Germany,2020-08-11,-3,-2,148,-22,-33,6
Germany,2020-08-12,-1,-2,154,-20,-32,5
Germany,2020-08-13,-5,-2,115,-21,-32,5
Germany,2020-08-14,-6,0,107,-20,-32,5
Germany,2020-08-15,-20,-17,132,-10,-8,0
Germany,2020-08-16,1,34,139,-4,4,-2
Germany,2020-08-17,-1,0,100,-19,-32,4
Germany,2020-08-18,-1,-2,112,-19,-28,5
Germany,2020-08-19,2,-3,147,-17,-28,4
Germany,2020-08-20,-6,-6,128,-20,-29,4
Germany,2020-08-21,-12,-7,127,-20,-30,4
Germany,2020-08-22,-17,-8,107,-13,-5,0
Germany,2020-08-23,-2,32,105,-6,3,-1
Germany,2020-08-24,-3,-3,92,-20,-28,4
Germany,2020-08-25,-3,-3,113,-19,-26,5
Germany,2020-08-26,-7,-6,70,-22,-26,6
Germany,2020-08-27,-3,-3,104,-17,-24,4
Germany,2020-08-28,-6,-2,84,-18,-26,4
Germany,2020-08-29,-12,-7,105,-8,-4,0
Germany,2020-08-30,-9,23,65,-12,-1,0
Germany,2020-08-31,2,2,74,-15,-24,3
Germany,2020-09-01,0,0,90,-14,-23,4
Germany,2020-09-02,3,-2,106,-14,-22,3
Germany,2020-09-03,-5,-3,81,-17,-23,3
Germany,2020-09-04,-4,-3,104,-14,-23,3
Germany,2020-09-05,-10,-7,103,-9,-7,0
Germany,2020-09-06,5,40,110,-4,0,-2
Germany,2020-09-07,2,-1,100,-14,-23,3
Germany,2020-09-08,0,-2,112,-12,-21,3
Germany,2020-09-09,1,-4,112,-13,-20,3
Germany,2020-09-10,-2,-2,102,-13,-20,2
Germany,2020-09-11,-2,-2,121,-11,-21,2
Germany,2020-09-12,-8,-6,149,-3,-3,-2
Germany,2020-09-13,15,49,152,4,3,-4
Germany,2020-09-14,0,-2,125,-12,-17,1
Germany,2020-09-15,-1,-2,142,-10,-16,2
Germany,2020-09-16,0,-3,131,-11,-16,2
Germany,2020-09-17,-4,-2,103,-12,-17,2
Germany,2020-09-18,-4,-2,113,-11,-18,2
Germany,2020-09-19,-9,-7,141,-4,-4,-1
Germany,2020-09-20,14,45,149,2,2,-3
Germany,2020-09-21,-2,-2,111,-12,-18,2
Germany,2020-09-22,-4,-2,122,-11,-16,3
Germany,2020-09-23,-5,-2,98,-12,-15,3
Germany,2020-09-24,-10,-2,70,-14,-15,3
Germany,2020-09-25,-12,-1,42,-16,-17,4
Germany,2020-09-26,-19,-7,15,-21,-8,3
Germany,2020-09-27,-14,18,44,-15,-3,1
Germany,2020-09-28,-7,1,48,-15,-15,3
Germany,2020-09-29,-8,1,50,-24,-15,5
Germany,2020-09-30,0,6,77,-10,-13,3
Germany,2020-10-01,-6,7,52,-12,-12,3
Germany,2020-10-02,0,29,60,-10,-14,2
Germany,2020-10-03,-51,-87,78,-22,-36,6
Germany,2020-10-04,0,50,80,-5,-1,0
Germany,2020-10-05,-3,10,40,-13,-17,3
Germany,2020-10-06,-7,4,42,-14,-17,5
Germany,2020-10-07,-6,1,43,-16,-16,4
Germany,2020-10-08,-11,0,32,-21,-17,4
Germany,2020-10-09,-10,1,45,-19,-17,4
Germany,2020-10-10,-13,-6,48,-15,-4,2
Germany,2020-10-11,-14,26,55,-16,-3,1
Germany,2020-10-12,-6,-1,49,-21,-24,5
Germany,2020-10-13,-6,-1,71,-20,-23,6
Germany,2020-10-14,-8,-3,35,-23,-23,6
Germany,2020-10-15,-11,2,28,-25,-24,7
Germany,2020-10-16,-12,1,31,-23,-25,7
Germany,2020-10-17,-18,-5,46,-18,-7,3
Germany,2020-10-18,-19,19,49,-20,-6,2
Germany,2020-10-19,-7,1,52,-24,-24,6
Germany,2020-10-20,-11,-1,49,-26,-24,7
Germany,2020-10-21,-8,-2,56,-23,-22,6
Germany,2020-10-22,-11,-1,67,-22,-22,6
Germany,2020-10-23,-16,0,25,-26,-24,8
Germany,2020-10-24,-21,-5,51,-21,-5,4
Germany,2020-10-25,-18,20,64,-20,-4,2
Germany,2020-10-26,-15,-1,12,-23,-17,6
Germany,2020-10-27,-14,0,35,-20,-16,7
Germany,2020-10-28,-11,0,33,-21,-15,6
Germany,2020-10-29,-13,4,7,-24,-16,7
Germany,2020-10-30,-10,12,3,-24,-17,7
Germany,2020-10-31,-30,-30,52,-24,-12,5
Germany,2020-11-01,-27,-1,4,-28,-6,4
Germany,2020-11-02,-24,-1,23,-24,-18,7
Germany,2020-11-03,-27,-1,19,-26,-18,9
Germany,2020-11-04,-27,-2,22,-27,-18,9
Germany,2020-11-05,-29,0,15,-28,-18,9
Germany,2020-11-06,-30,1,13,-31,-19,10
Germany,2020-11-07,-34,-5,45,-33,-13,7
Germany,2020-11-08,-48,-3,61,-33,-17,5
Germany,2020-11-09,-24,-2,11,-27,-16,8
Germany,2020-11-10,-27,-1,11,-26,-16,9
Germany,2020-11-11,-26,-2,9,-27,-16,9
Germany,2020-11-12,-30,-1,3,-28,-16,9
Germany,2020-11-13,-28,3,11,-28,-17,10
Germany,2020-11-14,-32,-3,38,-32,-13,7
Germany,2020-11-15,-48,-3,62,-32,-17,5
Germany,2020-11-16,-25,-3,-3,-28,-16,8
Germany,2020-11-17,-28,-1,3,-27,-16,9
Germany,2020-11-18,-27,-7,41,-28,-20,9
Germany,2020-11-19,-32,-2,-13,-30,-17,9
Germany,2020-11-20,-30,1,-3,-31,-17,10
Germany,2020-11-21,-35,-4,0,-39,-14,8
Germany,2020-11-22,-57,-16,5,-41,-20,7
Germany,2020-11-23,-24,-4,1,-29,-16,8
Germany,2020-11-24,-26,-2,5,-28,-16,9
Germany,2020-11-25,-25,-2,8,-28,-15,9
Germany,2020-11-26,-27,0,-5,-29,-16,9
Germany,2020-11-27,-20,7,1,-29,-17,9
Germany,2020-11-28,-30,0,0,-37,-12,7
Germany,2020-11-29,-57,-14,4,-42,-19,6
Denmark,2020-02-15,-2,-1,-4,2,-6,0
Denmark,2020-02-16,-7,-7,-33,-5,-6,1
Denmark,2020-02-17,-3,-1,0,-3,-2,1
Denmark,2020-02-18,1,1,9,-1,-1,1
Denmark,2020-02-19,0,0,12,-2,-1,1
Denmark,2020-02-20,1,-1,-3,-1,-2,1
Denmark,2020-02-21,1,1,15,-1,-3,1
Denmark,2020-02-22,-6,-3,-24,-4,-3,1
Denmark,2020-02-23,1,-2,-9,0,0,0
Denmark,2020-02-24,-2,-1,12,2,2,0
Denmark,2020-02-25,-3,-3,-4,1,3,1
Denmark,2020-02-26,-2,-2,1,0,3,1
Denmark,2020-02-27,2,1,21,2,3,0
Denmark,2020-02-28,17,1,23,6,2,-1
Denmark,2020-02-29,10,-4,-17,5,0,0
Denmark,2020-03-01,21,-7,-5,5,1,0
Denmark,2020-03-02,11,-5,28,1,2,0
Denmark,2020-03-03,10,-5,9,-1,2,0
Denmark,2020-03-04,9,-5,16,1,2,0
Denmark,2020-03-05,10,-3,30,-1,2,0
Denmark,2020-03-06,7,-3,11,-2,1,0
Denmark,2020-03-07,10,-2,47,7,1,-1
Denmark,2020-03-08,11,-8,-7,-1,-2,0
Denmark,2020-03-09,5,-5,14,-3,0,1
Denmark,2020-03-10,3,-4,-6,-7,0,2
Denmark,2020-03-11,5,5,25,-10,-1,2
Denmark,2020-03-12,-11,22,-16,-36,-28,12
Denmark,2020-03-13,-28,-7,2,-48,-44,16
Denmark,2020-03-14,-31,-9,86,-36,-16,8
Denmark,2020-03-15,-33,-24,-8,-50,-22,8
Denmark,2020-03-16,-24,-14,50,-52,-50,17
Denmark,2020-03-17,-25,-4,38,-55,-52,18
Denmark,2020-03-18,-41,-21,11,-61,-54,20
Denmark,2020-03-19,-39,-20,104,-58,-55,19
Denmark,2020-03-20,-44,-22,64,-62,-56,21
Denmark,2020-03-21,-48,-21,85,-55,-27,11
Denmark,2020-03-22,-38,-25,49,-60,-28,9
Denmark,2020-03-23,-36,-20,54,-60,-55,19
Denmark,2020-03-24,-36,-18,61,-60,-55,19
Denmark,2020-03-25,-37,-18,67,-59,-55,19
Denmark,2020-03-26,-36,-17,91,-59,-55,19
Denmark,2020-03-27,-39,-18,96,-61,-55,19
Denmark,2020-03-28,-43,-14,79,-56,-28,10
Denmark,2020-03-29,-37,-22,35,-60,-28,9
Denmark,2020-03-30,-33,-18,53,-59,-54,18
Denmark,2020-03-31,-23,-4,70,-54,-53,17
Denmark,2020-04-01,-32,-12,13,-58,-54,19
Denmark,2020-04-02,-34,-13,11,-61,-55,20
Denmark,2020-04-03,-35,-10,32,-61,-55,19
Denmark,2020-04-04,-38,-8,59,-53,-25,10
Denmark,2020-04-05,-22,-12,118,-49,-23,7
Denmark,2020-04-06,-15,-5,161,-52,-59,16
Denmark,2020-04-07,-13,4,167,-51,-59,16
Denmark,2020-04-08,-9,11,131,-51,-60,15
Denmark,2020-04-09,-40,-16,188,-62,-82,22
Denmark,2020-04-10,-60,-36,172,-65,-82,24
Denmark,2020-04-11,-31,4,50,-52,-23,8
Denmark,2020-04-12,-36,-20,123,-47,-23,6
Denmark,2020-04-13,-56,-30,107,-65,-84,24
Denmark,2020-04-14,-15,4,65,-53,-49,16
Denmark,2020-04-15,-23,-5,58,-51,-48,17
Denmark,2020-04-16,-23,-4,95,-50,-47,16
Denmark,2020-04-17,-26,-6,127,-50,-45,15
Denmark,2020-04-18,-33,-5,121,-43,-14,7
Denmark,2020-04-19,-21,-12,127,-43,-14,5
Denmark,2020-04-20,-14,-5,126,-42,-41,13
Denmark,2020-04-21,-15,-2,142,-40,-39,13
Denmark,2020-04-22,-18,-4,137,-40,-39,12
Denmark,2020-04-23,-18,-3,171,-40,-39,12
Denmark,2020-04-24,-25,-5,117,-46,-40,13
Denmark,2020-04-25,-29,-3,123,-40,-13,6
Denmark,2020-04-26,-22,-12,80,-45,-16,5
Denmark,2020-04-27,-20,-9,55,-44,-39,13
Denmark,2020-04-28,-20,-6,99,-39,-37,11
Denmark,2020-04-29,-26,-9,15,-45,-38,14
Denmark,2020-04-30,-28,-1,11,-44,-39,14
Denmark,2020-05-01,-29,0,68,-46,-49,16
Denmark,2020-05-02,-34,0,54,-40,-14,7
Denmark,2020-05-03,-20,-7,106,-35,-9,4
Denmark,2020-05-04,-21,-2,83,-37,-35,11
Denmark,2020-05-05,-22,0,96,-35,-33,11
Denmark,2020-05-06,-22,2,77,-35,-33,11
Denmark,2020-05-07,-12,17,150,-31,-33,7
Denmark,2020-05-08,-56,-30,226,-51,-78,19
Denmark,2020-05-09,-22,11,173,-27,-6,3
Denmark,2020-05-10,-17,1,78,-33,-5,2
Denmark,2020-05-11,-16,1,62,-35,-32,11
Denmark,2020-05-12,-21,1,42,-36,-31,11
Denmark,2020-05-13,-20,1,82,-33,-30,11
Denmark,2020-05-14,-19,1,77,-35,-30,9
Denmark,2020-05-15,-25,-2,57,-39,-31,10
Denmark,2020-05-16,-30,0,38,-37,-8,6
Denmark,2020-05-17,-22,-6,33,-41,-7,5
Denmark,2020-05-18,-13,-3,32,-32,-25,9
Denmark,2020-05-19,-9,3,103,-26,-22,8
Denmark,2020-05-20,6,15,172,-18,-22,4
Denmark,2020-05-21,-38,-21,337,-42,-77,16
Denmark,2020-05-22,-7,2,144,-44,-60,14
Denmark,2020-05-23,-17,-1,121,-28,2,3
Denmark,2020-05-24,-15,-8,15,-36,-3,2
Denmark,2020-05-25,-5,-1,107,-27,-24,7
Denmark,2020-05-26,-4,0,156,-22,-20,6
Denmark,2020-05-27,-6,0,90,-24,-19,7
Denmark,2020-05-28,-2,4,152,-22,-19,6
Denmark,2020-05-29,2,9,200,-18,-18,3
Denmark,2020-05-30,-3,12,209,-7,13,-1
Denmark,2020-05-31,-20,-11,235,-12,5,-1
Denmark,2020-06-01,-31,-16,372,-35,-77,13
Denmark,2020-06-02,15,22,202,-14,-19,3
Denmark,2020-06-03,5,9,133,-17,-19,5
Denmark,2020-06-04,10,17,71,-18,-20,4
Denmark,2020-06-05,-37,-25,143,-40,-63,15
Denmark,2020-06-06,-1,14,55,-23,4,3
Denmark,2020-06-07,0,-5,87,-21,6,1
Denmark,2020-06-08,5,2,99,-21,-19,5
Denmark,2020-06-09,4,4,126,-18,-18,4
Denmark,2020-06-10,2,2,115,-19,-18,5
Denmark,2020-06-11,4,4,112,-21,-19,5
Denmark,2020-06-12,-1,0,106,-21,-18,4
Denmark,2020-06-13,-6,0,117,-14,10,0
Denmark,2020-06-14,7,-2,170,-13,13,-1
Denmark,2020-06-15,11,5,219,-14,-18,3
Denmark,2020-06-16,11,8,237,-12,-17,2
Denmark,2020-06-17,8,5,205,-12,-17,3
Denmark,2020-06-18,9,5,206,-16,-18,2
Denmark,2020-06-19,-1,0,127,-20,-19,3
Denmark,2020-06-20,-7,1,91,-16,6,0
Denmark,2020-06-21,6,-2,136,-16,8,-1
Denmark,2020-06-22,14,5,163,-16,-21,3
Denmark,2020-06-23,13,8,267,-10,-19,0
Denmark,2020-06-24,10,4,244,-10,-18,2
Denmark,2020-06-25,12,8,288,-11,-19,1
Denmark,2020-06-26,1,0,288,-14,-19,0
Denmark,2020-06-27,-6,1,233,1,5,-4
Denmark,2020-06-28,3,-2,102,-15,3,-1
Denmark,2020-06-29,15,4,185,-17,-29,4
Denmark,2020-06-30,23,13,127,-17,-29,4
Denmark,2020-07-01,20,7,177,-14,-29,3
Denmark,2020-07-02,20,8,224,-15,-31,3
Denmark,2020-07-03,6,-1,158,-18,-32,3
Denmark,2020-07-04,-6,-2,66,-11,-5,-1
Denmark,2020-07-05,9,-3,90,-15,-4,0
Denmark,2020-07-06,22,5,184,-21,-42,6
Denmark,2020-07-07,23,6,220,-18,-41,5
Denmark,2020-07-08,22,3,245,-16,-40,4
Denmark,2020-07-09,19,3,288,-16,-40,4
Denmark,2020-07-10,3,-4,187,-24,-41,5
Denmark,2020-07-11,0,-1,192,2,-3,-3
Denmark,2020-07-12,12,-3,178,-7,-5,-2
Denmark,2020-07-13,29,6,358,-16,-53,6
Denmark,2020-07-14,26,6,301,-19,-53,7
Denmark,2020-07-15,24,3,307,-20,-52,7
Denmark,2020-07-16,23,4,383,-17,-52,6
Denmark,2020-07-17,6,-6,384,-19,-52,4
Denmark,2020-07-18,-1,-3,302,8,-4,-5
Denmark,2020-07-19,12,-3,236,-5,-6,-3
Denmark,2020-07-20,32,9,370,-18,-56,6
Denmark,2020-07-21,33,9,406,-17,-56,6
Denmark,2020-07-22,28,4,365,-18,-55,6
Denmark,2020-07-23,22,3,340,-22,-55,7
Denmark,2020-07-24,5,-5,260,-28,-55,8
Denmark,2020-07-25,0,-4,257,5,-5,-3
Denmark,2020-07-26,9,-5,134,-13,-9,0
Denmark,2020-07-27,26,4,320,-20,-50,7
Denmark,2020-07-28,27,6,328,-18,-49,7
Denmark,2020-07-29,22,2,220,-24,-50,8
Denmark,2020-07-30,23,4,282,-22,-49,7
Denmark,2020-07-31,15,0,368,-17,-48,3
Denmark,2020-08-01,4,0,294,12,-2,-5
Denmark,2020-08-02,19,2,184,-5,-2,-2
Denmark,2020-08-03,27,7,275,-16,-37,4
Denmark,2020-08-04,26,7,303,-14,-37,4
Denmark,2020-08-05,22,4,225,-17,-36,4
Denmark,2020-08-06,19,5,369,-14,-36,3
Denmark,2020-08-07,6,-3,389,-16,-36,1
Denmark,2020-08-08,-2,-1,338,7,-1,-5
Denmark,2020-08-09,13,1,284,-2,0,-4
Denmark,2020-08-10,17,6,313,-14,-28,2
Denmark,2020-08-11,16,6,332,-13,-27,1
Denmark,2020-08-12,13,3,279,-13,-26,2
Denmark,2020-08-13,11,3,305,-14,-26,1
Denmark,2020-08-14,3,-3,325,-13,-27,0
Denmark,2020-08-15,-4,-3,305,3,-2,-4
Denmark,2020-08-16,9,-4,277,-4,-2,-4
Denmark,2020-08-17,10,0,289,-13,-26,1
Denmark,2020-08-18,8,0,217,-15,-23,2
Denmark,2020-08-19,7,-2,190,-16,-24,2
Denmark,2020-08-20,4,-3,138,-19,-25,3
Denmark,2020-08-21,0,-6,167,-16,-25,2
Denmark,2020-08-22,-4,-5,154,-7,-3,-2
Denmark,2020-08-23,5,-7,93,-14,-5,-1
Denmark,2020-08-24,6,-4,150,-17,-22,2
Denmark,2020-08-25,7,-3,171,-16,-21,2
Denmark,2020-08-26,4,-5,113,-19,-20,3
Denmark,2020-08-27,4,-4,129,-18,-21,3
Denmark,2020-08-28,1,-5,114,-18,-20,2
Denmark,2020-08-29,-3,-7,118,-11,-3,-1
Denmark,2020-08-30,10,-7,125,-12,-2,-2
Denmark,2020-08-31,16,2,161,-12,-19,1
Denmark,2020-09-01,14,1,181,-10,-18,0
Denmark,2020-09-02,8,-2,142,-14,-18,1
Denmark,2020-09-03,8,0,124,-15,-18,1
Denmark,2020-09-04,7,-2,142,-14,-19,0
Denmark,2020-09-05,1,-5,117,-10,-5,-2
Denmark,2020-09-06,10,-6,96,-14,-5,-1
Denmark,2020-09-07,7,-4,125,-15,-20,1
Denmark,2020-09-08,7,-2,125,-16,-19,2
Denmark,2020-09-09,1,-6,79,-22,-20,3
Denmark,2020-09-10,5,-3,138,-17,-19,1
Denmark,2020-09-11,2,-4,131,-16,-20,1
Denmark,2020-09-12,-3,-7,100,-13,-6,-2
Denmark,2020-09-13,5,-8,80,-16,-5,-2
Denmark,2020-09-14,7,-6,180,-15,-17,0
Denmark,2020-09-15,8,-3,204,-14,-16,1
Denmark,2020-09-16,2,-6,134,-18,-16,2
Denmark,2020-09-17,3,-4,147,-18,-17,1
Denmark,2020-09-18,-1,-6,152,-17,-17,1
Denmark,2020-09-19,-6,-6,151,-13,-4,-1
Denmark,2020-09-20,3,-8,112,-16,-3,-1
Denmark,2020-09-21,1,-6,123,-19,-20,3
Denmark,2020-09-22,0,-4,148,-19,-19,3
Denmark,2020-09-23,-4,-6,111,-21,-18,4
Denmark,2020-09-24,-4,-4,86,-23,-18,4
Denmark,2020-09-25,-13,-9,39,-27,-20,5
Denmark,2020-09-26,-10,-5,74,-22,-3,1
Denmark,2020-09-27,0,-9,90,-20,-2,1
Denmark,2020-09-28,-5,-8,64,-24,-18,5
Denmark,2020-09-29,-1,-4,100,-21,-17,4
Denmark,2020-09-30,7,3,76,-20,-16,3
Denmark,2020-10-01,4,4,67,-22,-16,3
Denmark,2020-10-02,0,2,58,-23,-17,4
Denmark,2020-10-03,-1,1,66,-19,-4,1
Denmark,2020-10-04,9,-3,60,-22,-4,1
Denmark,2020-10-05,5,0,81,-20,-17,3
Denmark,2020-10-06,5,2,67,-21,-17,4
Denmark,2020-10-07,1,0,58,-23,-16,4
Denmark,2020-10-08,0,-1,43,-24,-16,4
Denmark,2020-10-09,0,-1,86,-21,-17,3
Denmark,2020-10-10,-2,-1,64,-17,-6,1
Denmark,2020-10-11,11,-5,94,-20,-6,0
Denmark,2020-10-12,16,1,133,-28,-40,6
Denmark,2020-10-13,19,4,168,-25,-39,5
Denmark,2020-10-14,12,1,96,-29,-40,6
Denmark,2020-10-15,14,3,129,-28,-42,7
Denmark,2020-10-16,3,-3,132,-31,-44,7
Denmark,2020-10-17,-3,-4,107,-16,-7,0
Denmark,2020-10-18,6,-5,74,-21,-4,0
Denmark,2020-10-19,-1,-3,63,-22,-16,4
Denmark,2020-10-20,1,-1,48,-22,-15,4
Denmark,2020-10-21,-5,-5,17,-25,-15,5
Denmark,2020-10-22,-2,-1,50,-23,-15,4
Denmark,2020-10-23,-4,-1,57,-24,-15,4
Denmark,2020-10-24,-7,-1,65,-23,-5,2
Denmark,2020-10-25,-2,-7,11,-31,-8,2
Denmark,2020-10-26,-6,-6,25,-27,-17,5
Denmark,2020-10-27,-4,-2,35,-25,-16,5
Denmark,2020-10-28,-5,-3,28,-27,-15,6
Denmark,2020-10-29,-7,-7,32,-28,-16,6
Denmark,2020-10-30,-6,-2,9,-29,-17,6
Denmark,2020-10-31,-7,-2,44,-28,-5,3
Denmark,2020-11-01,1,-8,36,-30,-8,2
Denmark,2020-11-02,-7,-8,5,-29,-18,6
Denmark,2020-11-03,-2,-3,35,-27,-17,5
Denmark,2020-11-04,-8,-7,18,-30,-16,6
Denmark,2020-11-05,-7,-4,12,-31,-16,6
Denmark,2020-11-06,-8,-5,35,-32,-18,6
Denmark,2020-11-07,-11,-6,40,-33,-7,4
Denmark,2020-11-08,-2,-8,64,-32,-9,2
Denmark,2020-11-09,-7,-6,14,-32,-19,7
Denmark,2020-11-10,-6,-4,19,-29,-18,6
Denmark,2020-11-11,-8,-6,7,-32,-18,7
Denmark,2020-11-12,-7,-5,13,-31,-17,7
Denmark,2020-11-13,-8,-5,28,-32,-18,7
Denmark,2020-11-14,-9,-5,39,-33,-7,3
Denmark,2020-11-15,-1,-8,40,-34,-10,3
Denmark,2020-11-16,-6,-8,11,-32,-18,6
Denmark,2020-11-17,-6,-6,6,-29,-17,6
Denmark,2020-11-18,-8,-6,3,-32,-16,7
Denmark,2020-11-19,-7,-6,5,-33,-17,7
Denmark,2020-11-20,-5,-4,26,-30,-16,6
Denmark,2020-11-21,-11,-7,-15,-37,-10,4
Denmark,2020-11-22,1,-8,16,-35,-10,3
Denmark,2020-11-23,-3,-6,11,-31,-16,6
Denmark,2020-11-24,-2,-3,5,-30,-16,6
Denmark,2020-11-25,-3,-3,8,-31,-15,6
Denmark,2020-11-26,2,0,18,-30,-14,5
Denmark,2020-11-27,9,3,24,-29,-15,5
Denmark,2020-11-28,-3,2,4,-33,-5,3
Denmark,2020-11-29,6,1,-5,-35,-6,2
France,2020-02-15,-2,-1,23,12,-2,-1
France,2020-02-16,6,2,9,7,-1,-1
France,2020-02-17,1,2,16,-6,-15,4
France,2020-02-18,5,2,36,-4,-14,3
France,2020-02-19,-4,-3,18,-6,-12,2
France,2020-02-20,-2,-1,29,-4,-15,3
France,2020-02-21,-1,-2,28,0,-15,3
France,2020-02-22,-6,-2,31,14,-5,-1
France,2020-02-23,8,7,30,12,-1,-1
France,2020-02-24,3,3,45,-1,-15,3
France,2020-02-25,1,1,23,-3,-14,4
France,2020-02-26,-5,-2,9,-5,-12,3
France,2020-02-27,-5,-1,1,-5,-15,4
France,2020-02-28,-1,1,15,0,-15,4
France,2020-02-29,-7,1,-12,4,-5,1
France,2020-03-01,1,4,-13,2,1,0
France,2020-03-02,-6,3,-9,-4,-5,3
France,2020-03-03,-1,5,8,-4,-4,2
France,2020-03-04,-6,2,1,-6,-3,2
France,2020-03-05,-8,0,-15,-6,-5,3
France,2020-03-06,-2,2,-1,-1,-4,3
France,2020-03-07,-4,1,7,1,0,1
France,2020-03-08,0,2,-1,-2,-1,1
France,2020-03-09,-5,2,2,-5,-1,2
France,2020-03-10,-5,1,1,-6,-1,2
France,2020-03-11,-6,2,17,-5,0,1
France,2020-03-12,-8,5,5,-7,-1,1
France,2020-03-13,-8,17,4,-8,-2,3
France,2020-03-14,-21,1,-1,-16,-5,5
France,2020-03-15,-38,23,15,-21,-9,3
France,2020-03-16,-43,46,-15,-39,-36,13
France,2020-03-17,-68,-15,-40,-61,-55,24
France,2020-03-18,-83,-45,-53,-76,-67,29
France,2020-03-19,-82,-41,-56,-78,-71,32
France,2020-03-20,-83,-42,-66,-80,-71,36
France,2020-03-21,-88,-54,-78,-82,-58,24
France,2020-03-22,-86,-64,-80,-84,-55,18
France,2020-03-23,-81,-41,-64,-82,-73,32
France,2020-03-24,-83,-45,-65,-82,-74,34
France,2020-03-25,-84,-48,-67,-83,-73,32
France,2020-03-26,-84,-46,-67,-83,-74,34
France,2020-03-27,-84,-46,-68,-84,-73,37
France,2020-03-28,-87,-56,-76,-83,-59,25
France,2020-03-29,-88,-72,-82,-87,-56,18
France,2020-03-30,-84,-47,-66,-83,-74,33
France,2020-03-31,-90,-38,-61,-82,-74,33
France,2020-04-01,-90,-39,-62,-81,-71,31
France,2020-04-02,-90,-36,-62,-82,-73,33
France,2020-04-03,-86,-38,-66,-82,-72,37
France,2020-04-04,-88,-45,-73,-80,-57,24
France,2020-04-05,-85,-62,-73,-82,-53,17
France,2020-04-06,-83,-37,-61,-81,-72,31
France,2020-04-07,-82,-35,-61,-80,-72,32
France,2020-04-08,-84,-37,-63,-80,-70,30
France,2020-04-09,-83,-32,-61,-80,-71,32
France,2020-04-10,-83,-34,-64,-81,-71,36
France,2020-04-11,-86,-39,-74,-79,-55,23
France,2020-04-12,-83,-58,-76,-82,-50,17
France,2020-04-13,-91,-80,-68,-88,-89,38
France,2020-04-14,-79,-22,-59,-78,-70,31
France,2020-04-15,-82,-32,-59,-78,-68,29
France,2020-04-16,-81,-31,-58,-78,-69,31
France,2020-04-17,-81,-33,-62,-79,-68,35
France,2020-04-18,-86,-46,-73,-78,-52,23
France,2020-04-19,-85,-65,-77,-81,-49,17
France,2020-04-20,-79,-40,-61,-78,-68,30
France,2020-04-21,-79,-37,-59,-77,-68,31
France,2020-04-22,-81,-38,-58,-76,-65,28
France,2020-04-23,-79,-34,-55,-76,-67,30
France,2020-04-24,-79,-35,-58,-77,-66,33
France,2020-04-25,-84,-43,-70,-76,-49,22
France,2020-04-26,-83,-58,-68,-77,-43,16
France,2020-04-27,-76,-36,-56,-76,-65,28
France,2020-04-28,-77,-34,-60,-76,-65,28
France,2020-04-29,-77,-32,-59,-75,-62,27
France,2020-04-30,-73,-16,-61,-75,-64,28
France,2020-05-01,-91,-87,-71,-87,-88,42
France,2020-05-02,-78,-26,-72,-73,-46,21
France,2020-05-03,-81,-56,-67,-76,-39,16
France,2020-05-04,-70,-24,-49,-72,-60,26
France,2020-05-05,-70,-23,-52,-71,-60,27
France,2020-05-06,-72,-23,-49,-69,-57,24
France,2020-05-07,-69,-12,-48,-70,-58,25
France,2020-05-08,-83,-58,-57,-80,-82,38
France,2020-05-09,-76,-27,-66,-70,-39,19
France,2020-05-10,-79,-50,-72,-74,-33,15
France,2020-05-11,-46,-10,-34,-56,-48,19
France,2020-05-12,-45,-5,-15,-51,-47,18
France,2020-05-13,-51,-10,-31,-53,-45,17
France,2020-05-14,-49,-7,-23,-53,-46,17
France,2020-05-15,-48,-8,-17,-52,-45,19
France,2020-05-16,-51,-12,-13,-43,-20,9
France,2020-05-17,-55,-17,8,-48,-10,5
France,2020-05-18,-39,-6,8,-48,-44,16
France,2020-05-19,-40,-2,11,-47,-43,16
France,2020-05-20,-36,9,20,-45,-42,12
France,2020-05-21,-56,-36,66,-61,-78,22
France,2020-05-22,-39,1,12,-54,-57,20
France,2020-05-23,-48,-14,-17,-47,-17,10
France,2020-05-24,-49,-17,21,-43,-3,3
France,2020-05-25,-34,-8,17,-46,-42,15
France,2020-05-26,-35,-4,22,-44,-39,15
France,2020-05-27,-38,-4,21,-43,-37,13
France,2020-05-28,-38,-1,19,-44,-39,14
France,2020-05-29,-37,0,14,-43,-38,15
France,2020-05-30,-39,-2,23,-34,-5,5
France,2020-05-31,-40,5,53,-38,7,2
France,2020-06-01,-43,-36,78,-55,-72,20
France,2020-06-02,-23,5,31,-34,-33,11
France,2020-06-03,-29,0,9,-36,-32,11
France,2020-06-04,-30,-1,-16,-40,-34,13
France,2020-06-05,-26,-1,-7,-37,-33,13
France,2020-06-06,-24,0,5,-27,-2,4
France,2020-06-07,-23,2,3,-32,18,0
France,2020-06-08,-21,-6,12,-36,-34,11
France,2020-06-09,-22,-5,12,-35,-32,11
France,2020-06-10,-25,-5,12,-34,-31,10
France,2020-06-11,-25,-3,9,-35,-32,11
France,2020-06-12,-25,-6,8,-34,-32,12
France,2020-06-13,-27,-7,16,-25,1,4
France,2020-06-14,-25,-3,41,-26,14,1
France,2020-06-15,-18,-5,38,-32,-31,10
